Unnamed: 0,atletas.entrou_em_campo,atletas.nome,atletas.slug,atletas.preco_num,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.variacao_num,atletas.pontos_num,atletas.rodada_id,atletas.apelido,atletas.posicao_id,atletas.clube_id,atletas.media_num,atletas.status_id,atletas.jogos_num,atletas.clube.id.full.name,atletas.apelido_abreviado,DS,FC,FD,FF,FS,I,A,CA,SG,DE,GS,CV,PP,V,FT,G,PC,DP,PS,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
252,True,Raniele Almeida Melo,raniele,5.22,,95556,0.07,2.4,3,Raniele,4,264,1.4,7,2,COR,Raniele,2.0,4.0,,,4.0,,,1.0,,,,,,,,,,,,,40.0,60.0,Arena Barueri,2025-04-12 18:30:00,0,2,333899,10,264,4,275,1744493400,26,True,False
253,True,Artur Victor Guimarães,artur,9.47,,95799,-1.74,0.5,3,Artur,5,263,4.47,7,3,BOT,Artur,2.0,3.0,,1.0,7.0,,1.0,1.0,,,,,,,1.0,,,,,,73.33,46.67,Nabi Abi Chedid,2025-04-12 16:00:00,0,1,333901,8,263,3,280,1744484400,26,True,False
256,False,Charles Rigon Mattos,charles,4.61,,96342,0.0,0.0,3,Charles,4,264,1.5,6,1,COR,Charles,1.0,,,,,,,,,,,,,,,,,,,,40.0,60.0,Arena Barueri,2025-04-12 18:30:00,0,2,333899,10,264,4,275,1744493400,26,True,False
257,True,Matheus Fellipe Costa Pereira,matheus-pereira,16.18,,96610,0.15,6.7,3,Matheus Pereira,4,283,4.05,7,2,CRU,M. Pereira,3.0,2.0,,1.0,9.0,1.0,,1.0,,,,,,,,,,,,,73.33,26.67,Morumbis,2025-04-13 17:30:00,1,1,333900,2,283,14,276,1744576200,26,True,False
258,True,Allan Rodrigues de Souza,allan,3.47,,96652,-0.53,0.0,3,Allan,4,262,0.0,6,1,FLA,Allan,,,,,,,,,,,,,,,,,,,,,73.33,53.33,Arena do Grêmio,2025-04-13 17:30:00,2,0,333903,1,262,11,284,1744576200,26,True,False
260,False,Carlos Moisés de Lima,carlinhos,4.0,,96831,0.0,0.0,3,Carlinhos,5,287,0.0,2,0,VIT,Carlinhos,,,,,,,,,,,,,,,,,,,,,20.0,60.0,Mineirão,2025-04-13 20:30:00,2,2,333902,16,287,7,282,1744587000,26,True,False
262,False,Dalbert Henrique Chagas Estevão,dalbert,3.0,,97173,0.0,0.0,3,Dalbert,2,292,0.0,5,0,SPT,Dalbert,,,,,,,,,,,,,,,,,,,,,6.67,46.67,São Januário,2025-04-12 21:00:00,1,3,333898,20,292,13,267,1744502400,26,True,False
264,True,Gustavo Henric da Silva,gustavo-mosquito,6.04,,97450,1.18,6.2,3,Gustavo Mosquito,5,287,4.2,6,2,VIT,G. Mosquito,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,20.0,60.0,Mineirão,2025-04-13 20:30:00,2,2,333902,16,287,7,282,1744587000,26,True,False
265,True,João Victor Carroll Santana,joao-victor,1.8,,97460,-0.19,0.2,3,João Victor,3,2305,0.77,7,3,MIR,J. Victor,2.0,2.0,,,2.0,1.0,,1.0,,,,,,,,,,,,,66.67,66.67,Casa de Apostas Arena Fonte Nova,2025-04-13 16:00:00,1,1,333904,9,2305,5,265,1744570800,26,True,False
266,False,Fernando Marçal de Oliveira,marcal,5.0,,97468,0.0,0.0,3,Marçal,2,263,0.0,6,0,BOT,Marçal,,,,,,,,,,,,,,,,,,,,,73.33,46.67,Nabi Abi Chedid,2025-04-12 16:00:00,0,1,333901,8,263,3,280,1744484400,26,True,False
267,False,Félix Eduardo Torres Caicedo,felix-torres,7.32,,97642,0.0,0.0,3,Félix Torres,3,264,8.8,6,1,COR,F. Torres,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,40.0,60.0,Arena Barueri,2025-04-12 18:30:00,0,2,333899,10,264,4,275,1744493400,26,True,False
268,False,Thiago Couto Wenceslau,thiago-couto,3.0,,97645,0.0,0.0,3,Thiago Couto,1,292,0.0,6,0,SPT,T. Couto,,,,,,,,,,,,,,,,,,,,,6.67,46.67,São Januário,2025-04-12 21:00:00,1,3,333898,20,292,13,267,1744502400,26,True,False
270,True,Erick de Arruda Serafim,erick,6.07,,97810,0.13,4.8,3,Erick,5,287,4.6,7,3,VIT,Erick,3.0,,,1.0,7.0,,1.0,,,,,,,,,,,,,,20.0,60.0,Mineirão,2025-04-13 20:30:00,2,2,333902,16,287,7,282,1744587000,26,True,False
271,True,Leonardo Rech Ortiz,leo-ortiz,4.9,,97867,1.21,6.5,3,Léo Ortiz,3,262,2.37,7,3,FLA,L. Ortiz,2.0,3.0,,,,,,,1.0,,,,,,,,,,,,73.33,53.33,Arena do Grêmio,2025-04-13 17:30:00,2,0,333903,1,262,11,284,1744576200,26,True,False
273,False,Matheus Bahia Santos,matheus-bahia,5.87,,97899,0.0,0.0,3,Matheus Bahia,2,354,4.4,5,2,CEA,M. Bahia,3.0,3.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,46.67,6.67,Alfredo Jaconi,2025-04-12 16:00:00,1,2,333906,12,354,19,286,1744484400,26,True,False
274,True,Vitor Eduardo da Silva Matos,vitao,10.65,,97900,0.51,8.0,3,Vitão,3,285,7.3,7,3,INT,Vitão,9.0,2.0,,,,,,1.0,2.0,,,,,,,,,,,,20.0,20.0,Castelão (CE),2025-04-13 20:00:00,0,0,333905,17,285,18,356,1744585200,26,True,False
276,True,Pedro Raul Garay da Silva,pedro-raul,9.49,,98225,-1.67,-0.1,3,Pedro Raul,5,354,7.53,6,3,CEA,P. Raul,,7.0,1.0,4.0,7.0,2.0,,2.0,,,,,,,1.0,2.0,,,,,46.67,6.67,Alfredo Jaconi,2025-04-12 16:00:00,1,2,333906,12,354,19,286,1744484400,26,True,False
277,False,Bartolomeu Jacinto Quissanga,bastos,11.0,,98280,0.0,0.0,3,Bastos,3,263,0.0,5,0,BOT,Bastos,,,,,,,,,,,,,,,,,,,,,73.33,46.67,Nabi Abi Chedid,2025-04-12 16:00:00,0,1,333901,8,263,3,280,1744484400,26,True,False
