Unnamed: 0,atletas.posicao_id,atletas.jogos_num,atletas.pontos_num,atletas.variacao_num,atletas.atleta_id,atletas.media_num,atletas.preco_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.nome,atletas.slug,atletas.entrou_em_campo,atletas.apelido,atletas.minimo_para_valorizar,atletas.clube.id.full.name,atletas.clube_id,atletas.status_id,A,DS,FC,FD,FF,FS,G,I,CA,DE,GS,V,DP,SG,FT,PS,PC,CV,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
647,4,0,0.0,0.0,133696,0.0,2.0,6,W. Davi,Wallace Davi Nunes da Silva Dias,wallace-davi,False,Wallace Davi,,FLU,266,6,,,,,,,,,,,,,,,,,,,,,66.67,73.33,Nilton Santos (Engenhão),2025-04-26 21:00:00,0,2,333968,6,266,8,263,1745712000,26,True,False
650,4,0,0.0,0.0,137166,0.0,1.0,6,W. Chumbinho,Willian da Silva Santos,willian-chumbinho,False,Willian Chumbinho,,RBB,280,6,,,,,,,,,,,,,,,,,,,,,46.67,46.67,Vila Belmiro,2025-04-27 20:30:00,2,1,333970,3,280,15,277,1745796600,26,True,False
654,3,0,0.0,0.0,138021,0.0,1.0,6,Palacios,Sergio Stevan Palacios Zapata,palacios,False,Palacios,,RBB,280,6,,,,,,,,,,,,,,,,,,,,,46.67,46.67,Vila Belmiro,2025-04-27 20:30:00,2,1,333970,3,280,15,277,1745796600,26,True,False
659,5,0,0.0,0.0,139455,0.0,2.0,6,C. Maia,Caio da Silva Maia,caio-maia,False,Caio Maia,,CAM,282,5,,,,,,,,,,,,,,,,,,,,,60.0,66.67,Maião,2025-04-26 18:30:00,2,2,333971,7,282,9,2305,1745703000,26,True,False
660,5,4,0.0,0.0,140364,0.78,2.29,6,J. Marcelo,João Marcelo Soares de Freitas,joao-marcelo,False,João Marcelo,,CAM,282,7,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,60.0,66.67,Maião,2025-04-26 18:30:00,2,2,333971,7,282,9,2305,1745703000,26,True,False
662,5,0,0.0,0.0,140484,0.0,5.0,6,R. Felipe,Riquelme Felipe Silva de Almeida,riquelme-felipe,False,Riquelme Felipe,,FLU,266,5,,,,,,,,,,,,,,,,,,,,,66.67,73.33,Nilton Santos (Engenhão),2025-04-26 21:00:00,0,2,333968,6,266,8,263,1745712000,26,True,False
664,4,6,1.1,-0.89,140541,3.42,3.87,6,L. Ferreira,Lucas dos Santos Ferreira,lucas-ferreira,True,Lucas Ferreira,,SAO,276,6,,10.0,3.0,2.0,,8.0,,,,,,,,,,,,,,,26.67,46.67,Castelão (CE),2025-04-26 18:30:00,1,1,333975,14,276,12,354,1745703000,26,True,False
665,5,3,8.3,1.82,140542,3.1,4.29,6,R. Francisco,Ryan Francisco Rodrigues dos Santos Silva,ryan-francisco,True,Ryan Francisco,,SAO,276,6,,,3.0,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,26.67,46.67,Castelão (CE),2025-04-26 18:30:00,1,1,333975,14,276,12,354,1745703000,26,True,False
666,2,0,0.0,0.0,141039,0.0,1.0,6,K. Borges,Kaio Borges Correa,kaio-borges,False,Kaio Borges,,FLU,266,6,,,,,,,,,,,,,,,,,,,,,66.67,73.33,Nilton Santos (Engenhão),2025-04-26 21:00:00,0,2,333968,6,266,8,263,1745712000,26,True,False
667,3,0,0.0,0.0,141040,0.0,1.0,6,D. Schuindt,Davi Duarte Schuindt,davi-schuindt,False,Davi Schuindt,,FLU,266,6,,,,,,,,,,,,,,,,,,,,,66.67,73.33,Nilton Santos (Engenhão),2025-04-26 21:00:00,0,2,333968,6,266,8,263,1745712000,26,True,False
670,1,0,0.0,0.0,141125,0.0,1.0,6,Robert,Robert Pinto Alves Assunção,robert,False,Robert,,CAM,282,6,,,,,,,,,,,,,,,,,,,,,60.0,66.67,Maião,2025-04-26 18:30:00,2,2,333971,7,282,9,2305,1745703000,26,True,False
671,4,0,0.0,0.0,141138,0.0,1.0,6,Z. Phelipe,José Phelipe dos Santos Dutra,ze-phelipe,False,Zé Phelipe,,CAM,282,6,,,,,,,,,,,,,,,,,,,,,60.0,66.67,Maião,2025-04-26 18:30:00,2,2,333971,7,282,9,2305,1745703000,26,True,False
