Unnamed: 0,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.pontos_num,atletas.atleta_id,atletas.clube_id,atletas.preco_num,atletas.status_id,atletas.variacao_num,atletas.media_num,atletas.posicao_id,atletas.apelido_abreviado,atletas.rodada_id,atletas.nome,atletas.entrou_em_campo,atletas.slug,atletas.jogos_num,atletas.apelido,A,DS,FC,FD,FF,FS,G,I,CA,DE,GS,DP,SG,V,FT,PS,PC,CV,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
257,CRU,,9.2,96610,283,14.8,7,0.03,6.65,4,M. Pereira,7,Matheus Fellipe Costa Pereira,True,matheus-pereira,6,Matheus Pereira,,16.0,11.0,6.0,4.0,22.0,,2.0,2.0,,,,,,,,,,,,73.33,73.33,Mineirão,2025-05-04 18:30:00,1,2,334012,1,262,2,283,1746394200,26,True,True
261,GRE,,0.0,97145,284,10.17,6,0.0,4.62,4,Villasanti,7,Mathías Adalberto Villasanti Rolón,False,villasanti,6,Villasanti,,21.0,12.0,,1.0,4.0,,,3.0,,,,,,,,,,,,46.67,53.33,Arena do Grêmio,2025-05-04 16:00:00,0,1,334013,15,277,11,284,1746385200,26,True,True
263,BAH,,7.53,97341,265,9.1,7,0.28,5.59,6,R. Ceni,7,Rogério Mücke Ceni,True,rogerio-ceni,7,Rogério Ceni,,,,,,,,,,,,,,3.0,,,,,,,73.33,66.67,Casa de Apostas Arena Fonte Nova,2025-05-03 21:00:00,0,1,334014,8,263,5,265,1746316800,26,True,True
266,VAS,,2.51,97466,267,8.45,7,0.09,2.51,6,F. Loureiro,7,Felipe Jorge Loureiro,True,felipe-loureiro,1,Felipe Loureiro,,,,,,,,,,,,,,,,,,,,,60.0,46.67,Mané Garrincha,2025-05-04 16:00:00,1,0,334008,4,275,13,267,1746385200,26,True,True
268,COR,,0.0,97642,264,7.15,6,0.0,4.83,3,F. Torres,7,Félix Eduardo Torres Caicedo,False,felix-torres,3,Félix Torres,,7.0,7.0,,2.0,1.0,,,1.0,,,,1.0,,,,,,,,20.0,40.0,Neo Química Arena,2025-05-03 18:30:00,2,4,334009,17,285,10,264,1746307800,26,True,True
273,BAH,,0.0,97868,265,5.15,6,0.0,2.53,2,Iago,7,Iago Amaral Borduchi,False,iago,3,Iago,,,1.0,1.0,1.0,2.0,,1.0,,,,,1.0,,,,,,,,73.33,66.67,Casa de Apostas Arena Fonte Nova,2025-05-03 21:00:00,0,1,334014,8,263,5,265,1746316800,26,True,True
274,CEA,,12.2,97899,354,9.49,7,1.12,8.62,2,M. Bahia,7,Matheus Bahia Santos,True,matheus-bahia,4,Matheus Bahia,1.0,11.0,4.0,2.0,1.0,4.0,,,1.0,,,,2.0,,,,,,,,20.0,46.67,Presidente Vargas (CE),2025-05-03 18:30:00,0,1,334015,16,287,12,354,1746307800,26,True,True
276,BAH,,2.9,98022,265,8.38,3,0.15,3.61,4,Erick,7,Erick Luis Conrado de Carvalho,True,erick,7,Erick,,12.0,12.0,,2.0,3.0,1.0,2.0,3.0,,,,,,1.0,,,,,,73.33,66.67,Casa de Apostas Arena Fonte Nova,2025-05-03 21:00:00,0,1,334014,8,263,5,265,1746316800,26,True,True
277,CEA,,0.6,98225,354,8.75,7,-0.76,5.22,5,P. Raul,7,Pedro Raul Garay da Silva,True,pedro-raul,6,Pedro Raul,,2.0,11.0,3.0,7.0,12.0,2.0,6.0,2.0,,,,,,1.0,,,,,,20.0,46.67,Presidente Vargas (CE),2025-05-03 18:30:00,0,1,334015,16,287,12,354,1746307800,26,True,True
281,BAH,,0.0,98484,265,4.58,5,0.0,2.85,3,Kanu,7,Victor Hugo Soares dos Santos,False,kanu,2,Kanu,,4.0,1.0,,,,,,,,,,,,,,,,,,73.33,66.67,Casa de Apostas Arena Fonte Nova,2025-05-03 21:00:00,0,1,334014,8,263,5,265,1746316800,26,True,True
