,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,CA,DS,FC,FD,FF,FS,I,SG,A,FT,G,CV,PC,PS,DE,GS,V,DP,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
306,9,141451,16,275,4,6,-1.8,2.95,-0.5,4.13,True,allan,Allan,Allan,Allan Andrade Elias,0,12,3,1,1,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,46.67,40.0,Maracanã,2025-07-23 19:00:00,2.0,1.0,334067,3,275,8,266,1753308000,26,True,True
307,11,85004,16,265,1,7,0.0,4.35,0.0,7.14,False,marcos-felipe,Marcos Felipe,M. Felipe,Marcos Felipe de Freitas Monteiro,0,0,0,0,0,3,0,4,0,0,0,0,1,0,28,9,0,0,0,0,66.67,26.67, São Januário,2025-08-31 20:30:00,,,334068,6,265,16,267,1756683000,26,False,True
308,3,118701,16,292,2,6,0.0,0.47,0.0,1.74,False,kevyson,Kevyson,Kevyson,Kevyson Costa e Silva,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,40.0,Barradão,2025-07-23 21:30:00,2.0,2.0,334074,20,292,15,287,1753317000,26,True,True
309,15,68928,16,276,1,7,5.0,4.51,-0.61,9.93,True,rafael,Rafael,Rafael,Rafael Pires Monteiro,2,1,0,0,0,5,0,4,0,0,0,0,0,0,49,18,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,True
310,14,77656,16,276,2,7,5.0,2.81,-0.34,7.03,True,cedric-soares,Cédric Soares,C. Soares,Cédric Ricardo Alves Soares,1,12,6,0,2,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,True
311,13,80287,16,276,5,7,9.2,7.09,-1.14,10.96,True,luciano,Luciano,Luciano,Luciano da Rocha Neves,4,14,15,9,18,21,1,0,2,0,4,0,0,2,0,0,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,True
312,9,80570,16,276,2,7,10.7,5.85,-0.63,11.21,True,wendell,Wendell,Wendell,Wendell Nascimento Borges,0,15,11,0,3,12,0,4,1,0,0,0,0,0,0,0,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,True
313,12,107174,16,285,4,6,1.0,3.43,-0.15,5.78,True,bruno-tabata,Bruno Tabata,B. Tabata,Bruno Vinícius Souza Ramos,2,11,5,6,3,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,60.0,40.0,Vila Belmiro,2025-07-23 21:30:00,2.0,1.0,334070,10,285,17,277,1753317000,26,True,True
314,11,99889,16,276,3,7,0.0,2.22,0.0,6.43,False,alan-franco,Alan Franco,A. Franco,Alan Javier Franco,2,9,12,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,True
315,14,81845,16,276,4,7,4.9,1.84,0.78,5.1,True,alisson,Alisson,Alisson,Alisson Euler de Freitas Castro,4,8,14,5,3,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,True
316,1,71536,16,276,4,5,0.0,9.6,0.0,10.73,False,luiz-gustavo,Luiz Gustavo,L. Gustavo,Luiz Gustavo Dias,0,4,4,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,True
317,14,104758,16,276,2,6,5.0,4.72,-0.29,8.51,True,enzo-diaz,Enzo Díaz,E. Díaz,Enzo Hernán Díaz,3,33,27,1,5,11,1,3,1,0,0,0,3,0,0,0,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,True
318,0,86508,16,276,1,6,0.0,0.0,0.0,5.0,False,jandrei,Jandrei,Jandrei,Jandrei Chitolina Carniel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,True
319,11,101290,16,276,5,6,1.0,5.52,-0.07,9.0,True,ferreira,Ferreira,Ferreira,Aldemir dos Santos Ferreira,2,9,5,2,6,19,1,0,2,0,3,0,0,0,0,0,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,True
320,11,107873,16,276,4,7,5.2,2.65,0.12,5.23,True,bobadilla,Bobadilla,Bobadilla,Damián Josué Bobadilla Benítez,1,17,12,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,True
321,12,106294,16,276,4,7,6.8,1.91,1.0,4.52,True,marcos-antonio,Marcos Antônio,M. Antônio,Marcos Antônio Silva Santos,3,10,12,1,3,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,True
322,11,105300,16,276,3,7,6.5,4.44,-0.76,7.82,True,ferraresi,Ferraresi,Ferraresi,Nahuel Adolfo Ferraresi Hernández,2,26,11,0,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,1,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,True
323,10,104075,16,276,3,6,6.7,2.34,0.53,5.43,True,sabino,Sabino,Sabino,José Sabino Chagas Monteiro,2,4,9,2,2,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,True
324,14,131617,16,276,5,7,0.8,4.75,-0.55,6.8,True,andre-silva,André Silva,A. Silva,André Oliveira e Silva,5,6,15,3,9,13,3,0,2,0,5,0,0,0,0,0,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,True
325,0,106829,16,276,2,6,0.0,0.0,0.0,4.0,False,patryck,Patryck,Patryck,Patryck Lanza dos Reis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,True
326,1,102909,16,276,4,6,0.0,0.0,-0.43,4.57,True,luan-vinicius,Luan Vinícius,L. Vinícius,Luan Vinícius da Silva Santos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,True
327,0,117818,16,276,1,6,0.0,0.0,0.0,2.0,False,young,Young,Young,Young Navarro Moraes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,True
328,7,118563,16,276,4,6,1.7,0.05,0.24,1.37,True,rodriguinho,Rodriguinho,Rodriguinho,Rodrigo Huendra Almeida Mendonça,3,2,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,True
329,7,140542,16,276,5,5,0.0,2.69,0.0,3.62,False,ryan-francisco,Ryan Francisco,R. Francisco,Ryan Francisco Rodrigues dos Santos Silva,0,0,4,0,2,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,True
330,11,91639,16,292,2,7,4.1,4.76,-0.04,8.0,True,igor-carius,Igor Cariús,I. Cariús,Igor Aquino da Silva,1,23,11,5,4,15,5,2,0,0,0,0,1,0,0,0,0,0,0,1,13.33,40.0,Barradão,2025-07-23 21:30:00,2.0,2.0,334074,20,292,15,287,1753317000,26,True,True
331,3,83048,16,292,3,7,4.5,4.0,0.38,6.75,True,rafael-thyere,Rafael Thyere,R. Thyere,Rafael Thyere de Albuquerque Marques,0,5,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.33,40.0,Barradão,2025-07-23 21:30:00,2.0,2.0,334074,20,292,15,287,1753317000,26,True,True
332,0,80076,16,292,5,6,0.0,0.0,0.0,6.0,False,ze-roberto,Zé Roberto,Z. Roberto,José Roberto Assunção de Araújo Filho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,40.0,Barradão,2025-07-23 21:30:00,2.0,2.0,334074,20,292,15,287,1753317000,26,True,True
333,8,113359,16,276,4,6,0.5,0.41,0.0,4.23,True,pablo-maia,Pablo Maia,P. Maia,Pablo Gonçalves Maia Fortunato,2,3,10,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,True
334,3,79702,16,292,3,6,0.0,1.37,0.0,3.81,False,antonio-carlos,Antônio Carlos,A. Carlos,Antônio Carlos Cunha Capocasali Júnior,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,40.0,Barradão,2025-07-23 21:30:00,2.0,2.0,334074,20,292,15,287,1753317000,26,True,True
335,12,91808,16,292,1,2,7.1,3.52,0.82,6.53,True,caique-franca,Caíque França,C. França,Caíque França Godoy,2,2,0,0,0,1,0,2,0,0,0,0,0,0,39,20,0,0,0,0,13.33,40.0,Barradão,2025-07-23 21:30:00,2.0,2.0,334074,20,292,15,287,1753317000,26,True,True
336,0,124674,16,276,4,6,0.0,0.0,0.0,2.0,False,felipe-negrucci,Felipe Negrucci,F. Negrucci,Felipe Negrucci Berdague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,True
337,1,85931,16,292,4,6,0.2,0.2,-0.35,4.65,True,hyoran,Hyoran,Hyoran,Hyoran Kaue Dalmoro,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,40.0,Barradão,2025-07-23 21:30:00,2.0,2.0,334074,20,292,15,287,1753317000,26,True,True
