atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,CA,DS,FC,FD,FF,FS,G,I,A,PS,FT,SG,DE,DP,GS,V,PC,CV,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
0,141151,18,292,2,6,0.0,0.0,0.0,3.0,False,felipinho,Felipinho,Felipinho,Felipe Gabriel dos Santos Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
11,141453,18,292,4,6,-0.3,0.99,-0.19,3.29,True,atencio,Atencio,Atencio,Rodrigo Uriel Atencio,1,1,4,2,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
0,141145,18,292,1,6,0.0,0.0,0.0,2.0,False,davi,Davi,Davi,Davi Medeiros Serrano Lira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
5,70449,18,292,1,7,8.9,2.82,1.52,4.92,True,gabriel,Gabriel,Gabriel,Gabriel Vasconcelos Ferreira,0,0,0,0,0,1,0,0,0,0,0,1,12,0,7,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
8,71680,18,287,2,5,-1.3,2.75,-0.82,3.09,True,raul-caceres,Raúl Cáceres,R. Cáceres,Raúl Alejandro Cáceres Bogado,3,4,7,3,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
15,90943,18,287,3,7,-0.4,2.04,-0.17,3.28,True,ze-marcos,Zé Marcos,Z. Marcos,José Marcos Alves Luis,2,8,13,0,0,9,0,1,0,0,0,4,0,0,0,0,0,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
15,99440,18,287,4,7,11.7,3.72,0.7,7.24,True,baralhas,Baralhas,Baralhas,Gabriel Baralhas dos Santos,4,25,23,2,9,9,1,0,1,0,1,0,0,0,0,0,1,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
5,90917,18,2305,5,6,5.5,2.48,0.86,4.62,True,carlos-eduardo,Carlos Eduardo,C. Eduardo,Carlos Eduardo Ferreira de Souza,1,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Maião,2025-08-02 18:30:00,2,3,334135,17,267,5,2305,1754170200,26,True,False
12,42222,18,287,5,2,6.2,2.31,-0.04,4.64,True,osvaldo,Osvaldo,Osvaldo,Osvaldo Lourenço Filho,3,6,6,6,4,11,0,3,1,0,1,0,0,0,0,0,0,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
3,83786,18,287,3,6,0.0,0.0,0.0,3.37,False,neris,Neris,Neris,Hueglo dos Santos Neris,1,1,7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
12,101752,18,287,2,7,3.1,2.14,0.5,4.89,True,claudinho,Claudinho,Claudinho,Claudio Coelho Salvático,5,11,10,1,3,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
9,101573,18,287,4,6,6.1,1.39,1.01,4.95,True,pepe,Pepê,Pepê,João Pedro Vilardi Pinto,2,9,14,1,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
3,96831,18,287,5,6,0.0,1.93,0.0,4.57,False,carlinhos,Carlinhos,Carlinhos,Carlos Moisés de Lima,2,0,8,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
