Unnamed: 0,atletas.rodada_id,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
214,1,6,0,0,0,rodrigo-ely,Rodrigo Ely,92237,Rodrigo Ely,GRE,False,0,284,3,6,,R. Ely,60.0,53.33,Arena do Grêmio,2025-03-29 18:30:00,1,2,333873,7,282,11,284,1743283800,26,True,True
216,1,6,0,0,0,renato-kayzer,Renato Kayzer,92696,Renato Kayzer de Souza,FOR,False,0,356,5,4,,R. Kayzer,66.67,20.0,Castelão (CE),2025-03-29 18:30:00,0,2,333875,6,266,18,356,1743283800,26,True,True
218,1,6,0,0,0,bruno-rodrigues,Bruno Rodrigues,92811,Bruno Rafael Rodrigues do Nascimento,PAL,False,0,275,5,6,,B. Rodrigues,73.33,60.0,Allianz Parque,2025-03-30 16:00:00,0,0,333869,8,263,4,275,1743361200,26,True,True
223,1,7,0,0,0,wanderson,Wanderson,93478,Wanderson Maciel Sousa Campos,CRU,False,0,283,5,8,,Wanderson,66.67,73.33,Mineirão,2025-03-29 18:30:00,1,2,333872,9,2305,2,283,1743283800,26,True,True
225,1,7,0,0,0,paulo-henrique,Paulo Henrique,93716,Paulo Henrique de Oliveira Alves,VAS,False,0,267,2,7,,P. Henrique,46.67,46.67,São Januário,2025-03-30 18:30:00,1,2,333868,15,277,13,267,1743370200,26,True,True
228,1,7,0,0,0,marcao,Marcão,93879,Marcos Venicius Santos Miranda - Vinícius,JUV,False,0,286,1,2,,Marcão,20.0,6.67,Alfredo Jaconi,2025-03-29 18:30:00,0,2,333876,16,287,19,286,1743283800,26,True,True
229,1,7,0,0,0,cleiton,Cleiton,93882,Cleiton Schwengber,RBB,False,0,280,1,6,,Cleiton,46.67,46.67,Nabi Abi Chedid,2025-03-31 20:00:00,2,2,333871,12,354,3,280,1743462000,26,True,True
230,1,6,0,0,0,breno-lopes,Breno Lopes,93988,Breno Henrique Vasconcelos Lopes,FOR,False,0,356,5,6,,B. Lopes,66.67,20.0,Castelão (CE),2025-03-29 18:30:00,0,2,333875,6,266,18,356,1743283800,26,True,True
232,1,7,0,0,0,matheus-fernandes,Matheus Fernandes,94067,Matheus Fernandes Siqueira,RBB,False,0,280,4,6,,M. Fernandes,46.67,46.67,Nabi Abi Chedid,2025-03-31 20:00:00,2,2,333871,12,354,3,280,1743462000,26,True,True
236,1,7,0,0,0,raphael-veiga,Raphael Veiga,94509,Raphael Cavalcante Veiga,PAL,False,0,275,4,21,,R. Veiga,73.33,60.0,Allianz Parque,2025-03-30 16:00:00,0,0,333869,8,263,4,275,1743361200,26,True,True
