,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,DS,FC,FS,FD,FF,I,SG,CA,G,DE,GS,PC,FT,CV,A,DP,PS,V,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
192,10,101027,13,354,2,7,11.0,7.48,1.51,11.33,True,diego,Diego,Diego,Jackson Diego Ibraim Fagundes - Ibrahim,17,4,29,1,1,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
193,4,85465,13,284,4,6,2.2,0.85,0.03,4.31,True,alex-santana,Alex Santana,A. Santana,Alex Paulo Menezes Santana,1,4,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46.67,73.33,Mineirão,2025-07-13 20:30:00,1.0,4.0,333962,12,284,2,283,1752449400,26,True,True
194,0,108176,13,354,3,6,0.0,0.0,0.0,4.0,False,gabriel-lacerda,Gabriel Lacerda,G. Lacerda,Gabriel Santos Cordeiro Lacerda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
195,0,115537,13,354,3,6,0.0,0.0,0.0,3.0,False,marcos-victor,Marcos Victor,M. Victor,Marcos Victor Ferreira da Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
196,7,68920,13,282,5,6,0.0,2.57,-0.61,8.39,True,dudu,Dudu,Dudu,Eduardo Pereira Rodrigues,4,5,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,True
197,9,91706,13,284,2,6,0.0,4.0,0.0,6.95,False,marlon,Marlon,Marlon,Marlon Rodrigues Xavier,15,9,4,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,46.67,73.33,Mineirão,2025-07-13 20:30:00,1.0,4.0,333962,12,284,2,283,1752449400,26,True,True
198,2,99316,13,276,5,6,0.0,-0.4,0.0,5.33,False,dinenno,Dinenno,Dinenno,Juan Ignacio Dinenno de Cara,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.0,86.67,Maracanã,2025-07-12 16:30:00,0.0,2.0,333957,15,276,1,262,1752348600,26,True,True
199,9,37281,13,284,6,6,3.37,5.45,-0.33,9.57,True,mano-menezes,Mano Menezes,M. Menezes,Luis Antônio Venker de Menezes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,46.67,73.33,Mineirão,2025-07-13 20:30:00,1.0,4.0,333962,12,284,2,283,1752449400,26,True,True
200,4,78855,13,266,3,6,0.0,5.15,0.0,7.89,False,thiago-santos,Thiago Santos,T. Santos,Thiago dos Santos,4,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,66.67,Maião,2025-08-16 00:00:00,,,333961,7,266,10,2305,1755313200,26,False,True
201,7,62977,13,266,4,2,0.0,1.69,0.0,6.62,False,ganso,Ganso,Ganso,Paulo Henrique Chagas de Lima,5,1,8,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66.67,66.67,Maião,2025-08-16 00:00:00,,,333961,7,266,10,2305,1755313200,26,False,True
202,9,73384,13,266,2,7,0.0,4.65,0.0,9.86,False,samuel-xavier,Samuel Xavier,S. Xavier,Samuel Xavier Brito,8,12,11,1,1,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,66.67,66.67,Maião,2025-08-16 00:00:00,,,333961,7,266,10,2305,1755313200,26,False,True
203,11,78117,13,266,5,6,0.0,1.65,0.0,3.45,False,everaldo,Everaldo,Everaldo,Everaldo Stum,2,12,6,4,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,66.67,66.67,Maião,2025-08-16 00:00:00,,,333961,7,266,10,2305,1755313200,26,False,True
204,4,86485,13,266,5,6,0.0,1.95,0.0,6.01,False,keno,Keno,Keno,Marcos da Silva França,1,2,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,66.67,Maião,2025-08-16 00:00:00,,,333961,7,266,10,2305,1755313200,26,False,True
205,8,96340,13,266,4,6,0.0,2.17,0.0,4.94,False,lima,Lima,Lima,Vinícius Moreira de Lima,1,6,10,2,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,66.67,66.67,Maião,2025-08-16 00:00:00,,,333961,7,266,10,2305,1755313200,26,False,True
