,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,CA,DS,FC,FF,FS,I,SG,FD,A,G,CV,FT,PC,PS,DE,GS,V,DP,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
133,3,101995,15,356,3,6,1.2,0.23,-0.32,5.13,True,britez,Brítez,Brítez,Emanuel Fermín Brítez,2,2,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
134,1,107221,15,356,1,6,2.9,2.9,0.95,2.95,True,magrao,Magrão,Magrão,Audenirton Soares da Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
135,8,42500,15,283,2,6,0.0,6.75,0.0,10.02,False,fagner,Fagner,Fagner,Fagner Conserva Lemos,1,19,9,1,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,False
136,14,79701,15,283,4,2,0.5,2.28,-0.21,4.77,True,lucas-silva,Lucas Silva,L. Silva,Lucas Silva Borges,2,7,22,3,11,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,False
137,14,42234,15,283,1,7,0.0,6.41,0.0,11.28,False,cassio,Cássio,Cássio,Cássio Roberto Ramos,3,0,0,0,0,0,7,0,0,0,0,0,0,0,46,9,0,1,0,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,False
138,14,84558,15,283,4,7,0.9,5.21,-0.93,7.9,True,lucas-romero,Lucas Romero,L. Romero,Lucas Daniel Romero,4,33,16,4,20,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,False
139,15,88963,15,283,6,7,10.8,7.37,0.36,11.66,True,leonardo-jardim,Leonardo Jardim,L. Jardim,José Leonardo Nunes Alves Sousa Jardim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,False
140,14,93478,15,283,5,7,1.5,2.07,0.15,5.26,True,wanderson,Wanderson,Wanderson,Wanderson Maciel Sousa Campos,1,7,17,12,8,4,0,7,0,0,0,1,0,0,0,0,0,0,0,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,False
141,14,103445,15,283,5,7,13.6,12.2,0.62,17.29,True,kaio-jorge,Kaio Jorge,K. Jorge,Kaio Jorge Pinto Ramos,2,15,11,14,18,5,0,9,4,12,0,3,0,2,0,0,0,0,1,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,False
142,8,86292,15,283,5,6,3.7,1.07,0.41,4.14,True,bolasie,Bolasie,Bolasie,Yannick Bolasie,1,3,7,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,False
143,7,88479,15,283,4,2,0.0,0.03,-0.06,2.6,True,walace,Walace,Walace,Walace Souza Silva,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,False
144,12,106593,15,283,3,7,4.7,6.89,-0.18,8.63,True,villalba,Villalba,Villalba,Lucas Hernán Villalba,3,17,8,3,4,0,8,1,0,1,0,3,0,0,0,0,0,0,0,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,False
145,3,99316,15,276,5,6,0.0,0.3,0.0,5.24,False,dinenno,Dinenno,Dinenno,Juan Ignacio Dinenno de Cara,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,26.67,Morumbis,2025-07-19 21:00:00,0,2,334030,10,264,14,276,1752969600,26,True,False
146,2,100742,15,283,4,6,0.0,1.55,0.0,8.54,False,matheus-henrique,Matheus Henrique,M. Henrique,Matheus Henrique de Souza,1,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,False
147,14,112709,15,283,2,7,8.7,7.7,0.89,10.58,True,kaiki-bruno,Kaiki Bruno,K. Bruno,Kaiki Bruno da Silva,3,38,31,8,21,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,False
148,12,104502,15,283,4,7,10.0,4.34,1.22,7.91,True,christian,Christian,Christian,Christian Roberto Alves Cardoso,4,14,20,7,15,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,False
149,1,124369,15,283,1,6,6.3,6.3,2.28,4.28,True,leo-aragao,Léo Aragão,L. Aragão,Leonardo de Aragão Carvalho,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,False
150,1,115563,15,283,4,6,0.0,-0.6,0.0,3.12,False,rodriguinho,Rodriguinho,Rodriguinho,Rodrigo Henrique Santos de Souza,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,False
151,12,68708,15,283,4,6,14.2,1.29,2.41,5.15,True,eduardo,Eduardo,Eduardo,Carlos Eduardo de Oliveira Alves,1,6,9,2,3,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,False
152,13,82627,15,262,5,7,3.2,5.96,-0.11,9.4,True,luiz-araujo,Luiz Araújo,L. Araújo,Luiz de Araújo Guimarães Neto,0,22,9,8,8,1,0,4,1,3,0,1,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
153,6,124912,15,283,3,6,0.0,3.03,0.0,4.95,False,jonathan-jesus,Jonathan Jesus,J. Jesus,Jonathan de Jesus Alves,0,5,6,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,False
