,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,A,CA,DS,FC,FD,FF,FS,G,I,SG,CV,FT,PC,PS,DE,DP,GS,V,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
167,5,111831,17,263,5,6,0.0,3.02,0.0,5.73,False,matheus-martins,Matheus Martins,M. Martins,Matheus Martins Silva dos Santos,0,1,5,5,4,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
168,0,107183,17,263,1,6,0.0,0.0,0.0,5.0,False,leo-linck,Léo Linck,L. Linck,Leonardo Matias Baiersdorf Linck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
169,0,121827,17,263,4,6,0.0,0.0,0.0,3.0,False,kaue-rodrigues,Kauê Rodrigues,K. Rodrigues,Kauê Rodrigues Pessanha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
170,0,131512,17,263,5,6,0.0,0.0,0.0,3.0,False,yarlen,Yarlen,Yarlen,Yarlen Faustino Augusto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
171,0,131757,17,263,3,6,0.0,0.0,0.0,2.0,False,serafim,Serafim,Serafim,Vinicius Lima Serafim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
172,0,141083,17,263,5,6,0.0,0.0,0.0,2.0,False,rafael-lobato,Rafael Lobato,R. Lobato,Rafael Genuino Lobato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
173,0,141401,17,263,5,6,0.0,0.0,0.0,3.0,False,kayke-queiroz,Kayke Queiroz,K. Queiroz,Kayke Gouvêa Queiroz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
174,12,68685,17,285,4,7,3.9,6.56,-0.54,13.73,True,alan-patrick,Alan Patrick,A. Patrick,Alan Patrick Lourenço,5,3,11,9,5,3,15,3,1,0,0,1,0,0,0,0,0,0,0,0,33.33,66.67,Beira-Rio,2025-07-27 18:30:00,1,1,334103,16,267,10,285,1753651800,26,True,False
175,14,100898,17,263,2,7,0.0,6.89,-1.44,9.88,True,vitinho,Vitinho,Vitinho,Victor Alexander da Silva,0,1,28,12,0,4,6,1,2,9,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
176,11,103388,17,356,4,7,0.0,2.27,0.0,5.12,False,emmanuel-martinez,Emmanuel Martínez,E. Martínez,Leandro Emmanuel Martínez,1,6,9,16,3,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,26.67,26.67,Castelão (CE),2025-07-26 18:30:00,1,3,334105,5,280,18,356,1753565400,26,True,False
177,3,88087,17,292,3,7,1.7,3.6,-0.58,7.11,True,ramon-menezes,Ramon Menezes,R. Menezes,Ramon Menezes Roma,0,0,5,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,13.33,Ilha do Retiro,2025-07-26 18:30:00,2,2,334106,17,277,20,292,1753565400,26,True,False
178,9,113078,17,356,2,6,0.0,3.12,0.0,6.54,False,mancuso,Mancuso,Mancuso,Eros Nazareno Mancuso,0,1,9,5,0,4,8,0,1,2,0,0,0,0,0,0,0,0,0,0,26.67,26.67,Castelão (CE),2025-07-26 18:30:00,1,3,334105,5,280,18,356,1753565400,26,True,False
179,16,79701,17,283,4,7,4.2,2.34,0.42,5.28,True,lucas-silva,Lucas Silva,L. Silva,Lucas Silva Borges,2,2,9,25,2,4,14,1,0,0,0,1,0,0,0,0,0,0,0,0,40.0,66.67,Mineirão,2025-07-27 16:00:00,2,1,334102,9,354,2,283,1753642800,26,True,False
180,16,42234,17,283,1,7,-0.7,6.12,-1.41,9.65,True,cassio,Cássio,Cássio,Cássio Roberto Ramos,0,3,0,0,0,0,0,0,0,8,0,0,0,0,50,1,11,0,0,0,40.0,66.67,Mineirão,2025-07-27 16:00:00,2,1,334102,9,354,2,283,1753642800,26,True,False
181,9,42500,17,283,2,6,0.9,6.1,-1.51,8.51,True,fagner,Fagner,Fagner,Fagner Conserva Lemos,0,1,20,11,0,1,7,0,1,5,0,0,0,0,0,0,0,0,0,0,40.0,66.67,Mineirão,2025-07-27 16:00:00,2,1,334102,9,354,2,283,1753642800,26,True,False
182,16,84558,17,283,4,7,6.2,5.02,0.73,8.57,True,lucas-romero,Lucas Romero,L. Romero,Lucas Daniel Romero,2,5,37,18,1,4,26,1,1,0,0,0,0,0,0,0,0,0,0,0,40.0,66.67,Mineirão,2025-07-27 16:00:00,2,1,334102,9,354,2,283,1753642800,26,True,False
183,17,88963,17,283,6,7,3.91,7.01,-0.13,10.78,True,leonardo-jardim,Leonardo Jardim,L. Jardim,José Leonardo Nunes Alves Sousa Jardim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,40.0,66.67,Mineirão,2025-07-27 16:00:00,2,1,334102,9,354,2,283,1753642800,26,True,False
184,7,88479,17,283,4,6,0.0,0.03,0.0,2.6,False,walace,Walace,Walace,Walace Souza Silva,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,66.67,Mineirão,2025-07-27 16:00:00,2,1,334102,9,354,2,283,1753642800,26,True,False
185,16,93478,17,283,5,7,-0.6,1.75,-0.15,4.78,True,wanderson,Wanderson,Wanderson,Wanderson Maciel Sousa Campos,0,1,7,20,7,12,8,0,4,0,0,1,0,0,0,0,0,0,0,0,40.0,66.67,Mineirão,2025-07-27 16:00:00,2,1,334102,9,354,2,283,1753642800,26,True,False
186,16,103445,17,283,5,7,10.8,11.45,1.31,16.87,True,kaio-jorge,Kaio Jorge,K. Jorge,Kaio Jorge Pinto Ramos,4,2,17,16,10,16,18,13,5,0,0,3,0,2,0,0,0,0,1,0,40.0,66.67,Mineirão,2025-07-27 16:00:00,2,1,334102,9,354,2,283,1753642800,26,True,False
