atletas.atleta_id,previsao_pontos,atletas.rodada_id,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante,A,CA,DS,FC,FD,FF,FS,I,G,FT,DE,GS,V,CV,PS,SG,DP,PC,PP,GC
82455,6.323969999999973,15,7,,0.38,4.77,ze-rafael,Zé Rafael,José Rafael Vivian,,True,6,277,4,8.43,,Z. Rafael,60.0,73.33,Maião,2025-07-19 18:30:00,,,334031,13,277,11,2305,1752960600,26,True,True,0.0,1.0,16.0,5.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84735,6.32347999999997,15,7,,-1.11,0.8,jorginho,Jorginho,Jorge Luiz Frello Filho,,True,2,262,4,10.21,,Jorginho,46.67,66.67,Maracanã,2025-07-20 19:30:00,,,334027,7,266,2,262,1753050600,26,True,False,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90768,6.314639999999956,15,7,,1.85,4.53,fabricio-bruno,Fabrício Bruno,Fabrício Bruno Soares de Faria,,True,13,283,3,9.56,,F. Bruno,26.67,86.67,Mineirão,2025-07-20 16:00:00,,,334032,18,286,1,283,1753038000,26,True,False,0.0,3.0,15.0,8.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
79631,6.311559999999962,15,7,,-0.15,2.9,cano,Cano,Germán Ezequiel Cano,,True,7,266,5,8.26,,Cano,46.67,66.67,Maracanã,2025-07-20 19:30:00,,,334027,7,266,2,262,1753050600,26,True,True,0.0,1.0,1.0,4.0,1.0,10.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111466,6.2560599999999615,15,7,,0.0,8.88,victor-gabriel,Victor Gabriel,Victor Gabriel da Conceição Ribeiro,,False,4,285,3,11.0,,V. Gabriel,40.0,33.33,Beira-Rio,2025-07-20 11:00:00,,,334033,10,354,14,285,1753020000,26,True,False,0.0,0.0,9.0,5.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
114802,6.237519999999967,15,7,,0.29,4.2,vitor-roque,Vitor Roque,Vitor Hugo Roque Ferreira,,True,11,275,5,10.55,,V. Roque,53.33,46.67,Allianz Parque,2025-07-20 17:30:00,,,334029,8,282,5,275,1753043400,26,True,False,0.0,2.0,12.0,9.0,3.0,5.0,19.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92087,6.23619999999997,15,7,,0.0,6.02,lyanco,Lyanco,Lyanco Evangelista Silveira Neves Vojnovic,,False,9,282,3,8.87,,Lyanco,53.33,46.67,Allianz Parque,2025-07-20 17:30:00,,,334029,8,282,5,275,1753043400,26,True,True,0.0,2.0,20.0,17.0,3.0,3.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0
93716,6.19916999999998,15,7,,0.0,7.95,paulo-henrique,Paulo Henrique,Paulo Henrique de Oliveira Alves,,False,10,267,2,12.24,,P. Henrique,46.67,40.0,São Januário,2025-07-19 17:30:00,,,334028,12,284,15,267,1752957000,26,True,False,3.0,3.0,35.0,19.0,2.0,3.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
92854,6.17254999999997,15,7,,0.0,3.06,borre,Borré,Rafael Santos Borré Maury,,False,9,285,5,10.63,,Borré,40.0,33.33,Beira-Rio,2025-07-20 11:00:00,,,334033,10,354,14,285,1753020000,26,True,False,0.0,0.0,3.0,3.0,1.0,4.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68920,6.134949999999969,15,7,,0.0,2.57,dudu,Dudu,Eduardo Pereira Rodrigues,,False,7,282,5,8.39,,Dudu,53.33,46.67,Allianz Parque,2025-07-20 17:30:00,,,334029,8,282,5,275,1753043400,26,True,True,0.0,0.0,4.0,5.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
